paso,objeto,x,y,zoom,pregunta,respuesta,boton_capa1,archivo_capa1,boton_capa2,archivo_capa2
#,id_objeto de la pestaña objetos / objects,Posición horizontal 0-1 (0.5 = centro),Posición vertical 0-1 (0.5 = centro),1.0 = imagen completa,Encabezado para este paso,Texto breve de 1-2 oraciones,"Texto opcional del botón (predeterminado: ""Saber más"")",Ruta al archivo markdown (ej. tu-historia/archivo.md),"Texto opcional del segundo botón (predeterminado: ""Profundizar más"")",Ruta al segundo archivo markdown
1,atlas-allegory,0.5,0.5,1,¿Qué es Telar?,Un framework para narrativas visuales. Este ejemplo explora un mapa alegórico que revela más de lo que parece mostrar a primera vista.,,,,
2,atlas-allegory,0.5,0.5,1,¿Qué es esta imagen?,"Este grabado de 1761 parece celebrar el imperio español, pero como verás, en realidad lo cuestiona. La académica Natalie Cobo guía a las personas lectoras a través de detalles reveladores.",,,,
3,atlas-allegory,0.477,0.125,8.9,Observa la cabeza,España aparece como la cabeza de este proyecto imperial.,Sobre las coordenadas,tu-historia/acerca-de-coordenadas.md,,
4,atlas-allegory,0.486,0.277,10,Fíjate en el collar,La cadena está hecha de barcos: fueron las invasiones de ultramar las que ampliaron el mundo hispánico de la temprana modernidad.,Guiar la atención,tu-historia/guiar-atencion.md,,
5,atlas-allegory,0.504,0.415,2.9,Mira a América,La masa continental americana forma un manto indefinido que cubre a la figura alegórica.,Construir un argumento,tu-historia/construir-argumento.md,,
6,atlas-allegory,0.478,0.883,10,Las Filipinas,"En contraste con el manto fluido americano, las islas Filipinas dan forma concreta a los pies de la figura.",Retórica visual,tu-historia/retorica-visual.md,,
7,atlas-allegory,0.5,0.5,1,Rutas comerciales,"Esta figura alegórica no se define por masas de tierra sino por rutas marítimas. La conexión, no el territorio, mantiene unido este cuerpo.",La revelación,tu-historia/la-revelacion.md,Presentación progresiva,tu-historia/presentacion-progresiva.md
8,atlas-allegory,0.516,0.974,10,El rey,Carlos III implementó reformas centralizadoras que buscaron convertir a los reinos coloniales en entidades subordinadas cuya función era proveer riqueza a la metrópoli.,El lugar del gobernante,tu-historia/lugar-gobernante.md,,
9,leviathan,0.486,0.177,3.6,Leviatán,"La tesis política de Hobbes muestra lo contrario: el gobernante como contenedor de toda la sociedad, con personas indistintas e intercambiables.",Uso de múltiples imágenes,tu-historia/multiples-imagenes.md,,
10,atlas-allegory,0.5,0.5,1,Un desafío para el rey,"Nuestra figura alegórica no tiene forma más allá de la conexión, y el gobernante queda arrinconado en la parte inferior. Esta imagen fue producida en Manila por el grabador filipino Laureano Atlas como frontispicio de la tesis de Vicente de Memije. En contexto, funciona como un desafío polémico a las reformas centralizadoras de Carlos III. Esta narrativa muestra cómo la exploración visual puede construir argumentos académicos.",¿Qué sigue?,tu-historia/que-sigue.md,,